transaction id,room id,customer name,amount,time of transaction,description
0,alpine-retreat-001,Amina,97.95,2026-01-02T13:46:00Z,museum entry
1,alpine-retreat-001,Fatima,174.59,2026-01-02T19:22:00Z,dinner
2,alpine-retreat-001,Pedro,32.03,2026-01-02T20:06:00Z,late-night food
3,alpine-retreat-001,Owen,52.41,2026-01-02T21:57:00Z,dinner
4,alpine-retreat-001,Nina,179.60,2026-01-03T01:21:00Z,beach gear
5,alpine-retreat-001,George,129.89,2026-01-03T07:15:00Z,museum entry
0,sunset-loft-002,Daniel,105.02,2026-01-03T17:12:00Z,rideshare
1,sunset-loft-002,Liam,141.96,2026-01-03T18:39:00Z,gas
2,sunset-loft-002,Pedro,43.32,2026-01-03T23:50:00Z,snacks
3,sunset-loft-002,Elena,90.57,2026-01-04T05:37:00Z,late-night food
4,sunset-loft-002,Isaac,38.77,2026-01-04T09:13:00Z,rideshare
5,sunset-loft-002,Noah,40.83,2026-01-04T12:36:00Z,museum entry
0,maple-house-003,George,6.00,2026-01-04T14:18:00Z,late-night food
1,maple-house-003,Daniel,15.56,2026-01-04T18:03:00Z,parking
2,maple-house-003,Amina,94.37,2026-01-04T20:48:00Z,beach gear
3,maple-house-003,Zoe,43.73,2026-01-04T22:02:00Z,rideshare
4,maple-house-003,Noah,38.74,2026-01-04T23:08:00Z,dinner
5,maple-house-003,Priya,91.09,2026-01-05T01:49:00Z,beach gear
6,maple-house-003,Isaac,17.71,2026-01-05T02:55:00Z,museum entry
0,bluebird-suite-004,Zoe,80.51,2026-01-05T17:30:00Z,snacks
1,bluebird-suite-004,Elena,76.10,2026-01-05T18:09:00Z,dinner
2,bluebird-suite-004,Owen,140.30,2026-01-05T21:23:00Z,board games
3,bluebird-suite-004,Chloe,27.02,2026-01-06T00:53:00Z,snacks
4,bluebird-suite-004,Julian,58.05,2026-01-06T05:54:00Z,house supplies
5,bluebird-suite-004,Chloe,180.20,2026-01-06T10:32:00Z,brunch
6,bluebird-suite-004,Marcus,129.73,2026-01-06T16:22:00Z,pizza
0,harbor-view-005,George,26.42,2026-01-06T15:17:00Z,snacks
1,harbor-view-005,Leah,65.51,2026-01-06T19:56:00Z,late-night food
2,harbor-view-005,Fatima,118.06,2026-01-07T00:42:00Z,cleaning supplies
3,harbor-view-005,Pedro,68.63,2026-01-07T06:31:00Z,rideshare
4,harbor-view-005,Owen,86.45,2026-01-07T12:25:00Z,brunch
5,harbor-view-005,Zoe,89.92,2026-01-07T14:56:00Z,snacks
6,harbor-view-005,Marcus,50.87,2026-01-07T17:59:00Z,beach gear
7,harbor-view-005,Daniel,100.85,2026-01-07T21:16:00Z,utilities
8,harbor-view-005,Amina,57.75,2026-01-08T02:38:00Z,pizza
0,canyon-cabin-006,Maya,103.76,2026-01-07T12:53:00Z,house supplies
1,canyon-cabin-006,Zoe,94.51,2026-01-07T18:25:00Z,gas
2,canyon-cabin-006,Leah,9.24,2026-01-07T21:42:00Z,coffee
3,canyon-cabin-006,Leah,145.20,2026-01-08T01:39:00Z,brunch
4,canyon-cabin-006,Liam,50.52,2026-01-08T05:17:00Z,parking
5,canyon-cabin-006,Marcus,72.78,2026-01-08T10:38:00Z,dinner
0,cedar-lodge-007,Elena,131.76,2026-01-08T16:54:00Z,utilities
1,cedar-lodge-007,Nina,90.03,2026-01-08T21:30:00Z,brunch
2,cedar-lodge-007,Avery,10.12,2026-01-09T02:39:00Z,museum entry
3,cedar-lodge-007,Daniel,15.94,2026-01-09T07:37:00Z,snacks
4,cedar-lodge-007,Amina,48.85,2026-01-09T13:35:00Z,coffee
